2.800000	-0.320638	-3.345041	3.396188
2.900000	-0.642722	-3.321307	3.279156
3.000000	-0.676220	-3.269444	3.232122
3.100000	-1.053698	-3.316327	3.198052
3.200000	-1.212052	-3.304218	3.144704
3.300000	-1.397181	-3.252308	3.059406
3.400000	-1.586561	-3.154961	2.955526
3.500000	-1.756282	-3.005219	2.839699
3.600000	-1.895398	-2.800528	2.716194
3.700000	-2.003815	-2.545812	2.586864
3.800000	-2.085578	-2.253136	2.451503
3.900000	-2.146736	-1.938175	2.309376
4.000000	-2.193364	-1.615715	2.161432
4.100000	-2.230054	-1.296775	2.011216
4.200000	-2.259714	-0.988420	1.863473
4.300000	-2.284462	-0.695349	1.721951
4.400000	-2.306603	-0.421356	1.588474
4.500000	-2.328693	-0.169569	1.463632
4.600000	-2.352900	0.057999	1.347932
4.700000	-2.380517	0.260682	1.242221
4.800000	-2.412006	0.438856	1.147300
4.900000	-2.447322	0.593489	1.063435
5.000000	-2.486198	0.725875	0.990235
5.100000	-2.528244	0.837543	0.926881
5.200000	-2.572963	0.930162	0.872400
5.300000	-2.619801	1.005412	0.825809
5.400000	-2.668264	1.064905	0.786104
5.500000	-2.717975	1.110222	0.752236
5.600000	-2.768585	1.143040	0.723124
5.700000	-2.819645	1.165240	0.697696
5.800000	-2.870587	1.178922	0.674912
5.900000	-2.920827	1.186302	0.653740
6.000000	-2.969858	1.189524	0.633149
6.100000	-3.017274	1.190443	0.612156
6.200000	-3.062770	1.190447	0.589893
6.300000	-3.106158	1.190322	0.565648
6.400000	-2.494210	1.208718	0.516043
6.500000	-1.983055	1.295169	0.530133
6.600000	-2.035752	1.294037	0.413468
6.700000	-1.410291	1.375492	0.363543
6.800000	-1.236397	1.412473	0.266005
6.900000	-1.016374	1.451409	0.168417
7.000000	-0.780423	1.486312	0.068271
7.100000	-0.562573	1.512655	-0.031794
7.200000	-0.374518	1.527270	-0.128590
7.300000	-0.212692	1.527812	-0.218757
7.400000	-0.075436	1.512055	-0.299086
7.500000	0.036528	1.477821	-0.366787
7.600000	0.123823	1.423106	-0.419906
